title,url
AGENDA,https://vidicon.org/event/vidicon-2020-agenda-all-times-in-mst-2020-11-12-2020-11-16-4/agenda
HYDRITSI,http://hydritsi.sinnott.cc/Vidicon2020
VR,https://h00ps.net
